door_id,location_name,zone_a,zone_b,default_light_code,access_mode,default_door_state,eligible_agents,authorization_source,existing_indicator_light,light_render_action,light_anchor_rule,door_open_rule,door_close_rule,denied_access_behavior,collision_and_pathfinding_rule,dynamic_state_rule,reservation_or_group_rule,blue_restricted_rule,red_blocked_rule,elevator_rule,source_confidence,manual_review_required,implementation_notes
D01,Agent Platform main entrance,Agent Platform & Models,Main Connecting Walkway - West,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,high,no,Primary east-side entrance for Agent Platform & Models.
D02,Agent Platform stair-side entrance,Agent Platform & Models,Stairs2 Landing,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,medium,yes,Door is on the upper-left side of Agent Platform & Models near the Stairs2 landing.
D03,Agent Platform lower entrance,Agent Platform & Models,RM3 / Focus A circulation corridor,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,high,no,Lower-left entrance connecting Agent Platform & Models to the Focus A/RM3 side.
D04,Plugins north-west entrance,Plugins & Automation,RM3 circulation zone,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,high,no,West-side entrance into Plugins & Automation.
D05,Sandbox 2 north entrance,Sandbox 2,RM3 circulation zone,YELLOW,event,closed_when_idle_reserved,active meeting participants; invited agents; explicitly assigned event or work group; approved room users,"meeting/event reservation data, assigned group membership, or explicit temporary authorization",yes,overlay yellow light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.","open only when the approaching agent is included in the active reservation, event, group assignment, or temporary authorization",close after the authorized agent clears the threshold and the doorway clearance zone is empty,stop or reroute nonparticipants and show reserved-access feedback,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,yellow access may activate or expire with schedules; visual light and access logic must remain synchronized,"support start/end times, participant IDs, group IDs, room assignment, and optional host override",not applicable unless a separate blue policy is later layered on the same door,a red emergency/administrative override takes precedence over yellow,not applicable,high,no,Reserved-access entry for Sandbox 2; use meeting/event/group-work authorization.
D06,Sandbox 2 east entrance,Sandbox 2,RM2 circulation zone,YELLOW,event,closed_when_idle_reserved,active meeting participants; invited agents; explicitly assigned event or work group; approved room users,"meeting/event reservation data, assigned group membership, or explicit temporary authorization",yes,overlay yellow light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.","open only when the approaching agent is included in the active reservation, event, group assignment, or temporary authorization",close after the authorized agent clears the threshold and the doorway clearance zone is empty,stop or reroute nonparticipants and show reserved-access feedback,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,yellow access may activate or expire with schedules; visual light and access logic must remain synchronized,"support start/end times, participant IDs, group IDs, room assignment, and optional host override",not applicable unless a separate blue policy is later layered on the same door,a red emergency/administrative override takes precedence over yellow,not applicable,medium,yes,Reserved-access side entry associated with Sandbox 2 and the RM2/Conference 2 corridor.
D07,RM5 lower access door,RM5,Lower west service/exterior boundary,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,medium,yes,Marked as general access; confirm whether the opposite side is an exterior/service destination or another future area.
D08,Conference 2 east entrance,Conference 2,RM1 circulation zone,YELLOW,event,closed_when_idle_reserved,active meeting participants; invited agents; explicitly assigned event or work group; approved room users,"meeting/event reservation data, assigned group membership, or explicit temporary authorization",yes,overlay yellow light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.","open only when the approaching agent is included in the active reservation, event, group assignment, or temporary authorization",close after the authorized agent clears the threshold and the doorway clearance zone is empty,stop or reroute nonparticipants and show reserved-access feedback,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,yellow access may activate or expire with schedules; visual light and access logic must remain synchronized,"support start/end times, participant IDs, group IDs, room assignment, and optional host override",not applicable unless a separate blue policy is later layered on the same door,a red emergency/administrative override takes precedence over yellow,not applicable,high,no,"Conference-room access; only active meeting participants, assigned groups, or explicitly invited agents may enter."
D09,Plugins south-east entrance,Plugins & Automation,RM1 circulation zone,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,high,no,General-access connection from Plugins & Automation toward RM1.
D10,Security A north entrance,Security A,RM1 circulation zone,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,high,no,General entrance to Security A from the north/room corridor.
